year,infant,u5,he
2000,28.5,98.5,4.63926125
2001,28.4,94.2,4.8036828
2002,28.1,89.9,4.95862436
2003,27.9,85.5,5.16911125
2004,27.5,81.1,5.3449378
2005,27.1,76.5,5.31436777
2006,26.5,72.3,5.87344599
2007,26,68.3,5.99706984
2008,25.5,63.9,6.04985666
2009,24.9,60.3,6.02780771
2010,24.5,57.9,6.11675072
2011,24.1,56,5.81170416
2012,23.7,54.6,5.61369753
2013,23.4,52.8,5.51942348
2014,23.1,51.3,5.45934105
2015,22.7,49.6,5.21938848
2016,22.3,47.8,5.14090538
2017,21.9,46.4,4.8369956
2018,21.5,44.6,5.16729498
